Headlines,Fecha,traduccion
"El Ibex mantiene los 16.000 puntos y salda octubre con un alza del 3,6%",2025-10-31,"The Ibex maintains the 16,000 points and settles October with an increase of 3.6%"
"Gortázar: ""CaixaBank está ganando cuota de mercado en pymes, pero no en hipotecas""",2025-10-31,"Gortázar: ""CaixaBank is gaining market share in SMEs, but not mortgages"""
El pequeño inversor español se vuelca con el sector salud,2025-10-31,The small Spanish investor turns to the health sector
"Genç: ""BBVA está en su mejor momento y tiene escala suficiente en España con un 14%""",2025-10-30,"Genç: ""BBVA is at its best and has enough scale in Spain with 14%"""
BBVA está en las alturas,2025-10-30,BBVA is in the heights
Economía trata de aplacar el expediente por la opa pero plantea a la UE mantener su poder de veto sobre las fusiones bancarias,2025-10-30,Economy tries to placate the file for the opa but asks the EU to maintain its veto power over bank mergers
¿Y ahora qué? Urge reformar la ley de opas y sus tiempos,2025-10-29,What now? There is an urgent need to reform the law of opas and its times
BBVA supera los 100.000 millones de capitalización en Bolsa,2025-10-29,BBVA exceeds 100 billion capitalization on the Stock Exchange
BBVA busca destino al responsable de la oficina de integración de Sabadell,2025-10-29,BBVA seeks destination for the head of Sabadell integration office
Los inversores se cubren en banca antes de los resultados,2025-10-29,Investors cover themselves in banking before results
"Las empresas del Ibex pagan un 26,3% por Sociedades, más del tipo nominal",2025-10-29,"Ibex companies pay 26.3% per company, more than the nominal rate"
Banco Sabadell organizará una fiesta en el Palau Sant Jordi para celebrar el fracaso de la opa,2025-10-28,Banco Sabadell will organize a party at Palau Sant Jordi to celebrate the failure of the Opa
Dónde invertir con la Bolsa en máximos,2025-10-28,Where to invest with the stock market in maximums
El Ibex 35 supera por primera vez los 16.000 puntos,2025-10-27,"Ibex 35 exceeds 16,000 points for the first time"
El Ibex cierra en 16.000 puntos y marca máximos históricos 18 años después,2025-10-27,"The Ibex closes at 16,000 points and marks historical maximums 18 years later"
Santander y CaixaBank endurecen la competencia por las grandes fortunas,2025-10-27,Santander and CaixaBank harden competition for big fortunes
"Laboureix (JUR): ""La próxima crisis sucederá un día u otro, pero la banca es mucho más resistente""",2025-10-27,"Laboureix (JUR): ""The next crisis will happen one day or another, but the bank is much more resilient"""
"La gran banca gana 25.320 millones hasta septiembre, otro récord, según los analistas",2025-10-26,"The big bank earns 25,320 million until September, another record, according to analysts"
20 valores españoles que triunfan en Europa con su tirón bursátil,2025-10-25,20 Spanish securities that triumph in Europe with their stock market tug
Así ganó Sabadell a BBVA: la intrahistoria de la opa bancaria del siglo,2025-10-24,This is how Sabadell won BBVA: the intrahistory of the banking opa of the century
"BBVA sube en Bolsa un 7,54% tras fracasar la opa y lidera la banca",2025-10-24,BBVA raises 7.54% on the Stock Exchange after the Opa fails and leads the banking
"Cuerpo ve ""total y perfecto"" el encaje de la normativa española de opas con la europea",2025-10-23,"Body sees ""total and perfect"" the lace of the Spanish regulations of opas with the European"
"La opa de BBVA, Muface y la importancia del precio",2025-10-23,"La opa de BBVA, Muface y la importación del precio"
Sabadell o cómo tejer con alianzas un futuro en solitario,2025-10-23,Sabadell or how to weave a lonely future with alliances
El Gobierno explora con la UE mantener parte del control de opas,2025-10-23,Government explores with EU to maintain part of opa control
"Acciona Energía, Solaria y Enagás se pierden el rally de 3 años",2025-10-23,"Action Energy, Solaria and Enagás are missing the 3 year rally"
El Ibex modera su subida y cierra por debajo de los 15.800 puntos,2025-10-22,"The Ibex moderates its rise and closes below 15,800 points"
"BBVA prepara una recompra de acciones de 3.000 millones, según Morgan Stanley",2025-10-22,"BBVA prepares a repurchase of shares of 3 billion, according to Morgan Stanley"
"BBVA ve la banca digital como ""una nueva vía sólida de crecimiento""",2025-10-22,"BBVA sees digital banking as ""a new solid path to growth"""
Generali es la aseguradora extranjera que más beneficio logra en España,2025-10-22,Generali is the foreign insurance company that achieves the most profit in Spain
Sabadell absorbe las ventas en Bolsa de los fondos cazaopas,2025-10-22,Sabadell absorbs stock market sales of hunting funds
El Ibex desafía su récord y pone rumbo a los 16.300 puntos,2025-10-22,"The Ibex defies its record and sets course for the 16,300 points"
Las fusiones bancarias europeas pueden tener éxito a pesar del fracaso de BBVA,2025-10-21,European banking mergers can succeed despite BBVA’s failure
Oliu descarta compras de Sabadell los próximos tres años,2025-10-21,Oliu discards Sabadell purchases for the next three years
La CNMV reclama al Gobierno una revisión de la ley de opas,2025-10-21,CNMV calls on the Government to review the Opas Act
Morgan Stanley fija nuevos techos en BBVA y Sabadell tras la opa,2025-10-21,Morgan Stanley fixes new roofs in BBVA and Sabadell after the opa
Sabadell y Zurich brindan por el fracaso de la opa y disparan un 176% su bancaseguros,2025-10-21,Sabadell and Zurich provide for the failure of the Opa and fire 176% of their insurance banks
"La Primera de Expansión sobre BBVA, Sabadell, David Martínez, IA, BlackRock y DeepSeek",2025-10-21,"The First Expansion on BBVA, Sabadell, David Martínez, IA, BlackRock and DeepSeek"
Goldman Sachs y Morgan Stanley agrandan su leyenda con la opa BBVA-Sabadell,2025-10-21,Goldman Sachs and Morgan Stanley enlarge their legend with the BBVA-Sabadell opa
Cómo gestionar una opa hostil sin descuidar el negocio,2025-10-21,How to manage a hostile opa without neglecting the business
BlackRock eleva su apuesta por la banca española,2025-10-21,BlackRock raises its stake in Spanish banking
Economía cederá a contrarreloj el control de opas al Banco de España,2025-10-21,Economy will cede control of opas to the Banco de España
"La banca impulsa al Ibex por encima del 15.800, máximo desde 2007",2025-10-20,"Banks boost Ibex above 15,800, peak since 2007"
"Torres, a la plantilla de BBVA: ""Asumimos con serenidad el resultado de la opa; lo mejor está por venir""",2025-10-20,"Torres, to BBVA's staff: ""We accept with serenity the result of the opa; the best is to come"""
BBVA rompe al alza un lateral de diez semanas,2025-10-20,BBVA breaks up a ten-week side
David Martínez felicita a Sabadell por su triunfo en la opa de BBVA,2025-10-20,David Martinez congratulates Sabadell for his triumph in BBVA’s opa
BBVA y Sabadell aceleran sus subidas en el Ibex,2025-10-20,BBVA and Sabadell accelerate their climbs in the Ibex
"La Primera de Expansión sobre BBVA, Sabadell, Oliú, el Nikkei, Kering y L'Oreal",2025-10-20,"The First Expansion on BBVA, Sabadell, Oliú, Nikkei, Kering and L'Oreal"
BBVA y Sabadell gastan más de 100 millones en asesores para la opa,2025-10-20,BBVA and Sabadell spend more than 100 million on consultants for the Opa
¿Ha llegado la hora de las fusiones entre bancos medianos en España?,2025-10-20,Has the time come for mergers between medium-sized banks in Spain?
