Headlines,Fecha,traduccion,xlmr_positive,xlmr_neutral,xlmr_negative,finance-sentiment-es_positive,finance-sentiment-es_neutral,finance-sentiment-es_negative,mbert_oneStars,mbert_twoStars,mbert_threeStars,mbert_fourStars,mbert_fiveStars,finbert_positive,finbert_neutral,finbert_negative,pysentimiento_positive,pysentimiento_neutral,pysentimiento_negative
el ibex mantiene los 16000 puntos y salda octubre con un alza del 36,2025-10-31,the ibex maintains the 16000 points and settles october with an increase of 36,0.405526727437973,0.5507013201713562,0.04377196729183197,0.9999336004257202,3.6804725823458284e-05,2.960844722110778e-05,0.1357237547636032,0.08395566046237946,0.17221492528915405,0.24528749287128448,0.36281818151474,5.444830094347708e-05,0.9999096393585205,3.5872992157237604e-05,0.1615433245897293,0.5815856456756592,0.25687095522880554
gortazar caixabank esta ganando cuota de mercado en pymes pero no en hipotecas,2025-10-31,gortazar caixabank is gaining market share in smes but not mortgages,0.09063517302274704,0.5475462675094604,0.3618185222148895,4.87567376694642e-05,0.9999456405639648,5.617727310891496e-06,0.21069368720054626,0.27372196316719055,0.3449716866016388,0.12263207882642746,0.04798056557774544,0.9999997615814209,2.795256079934916e-07,4.8004693553593825e-08,0.056135110557079315,0.46083006262779236,0.48303481936454773
el pequeno inversor espanol se vuelca con el sector salud,2025-10-31,the small spanish investor turns to the health sector,0.03397313132882118,0.14323461055755615,0.8227922320365906,9.426213182450738e-06,0.999982476234436,8.069251634879038e-06,0.27005547285079956,0.2594996690750122,0.2334395945072174,0.1428302377462387,0.09417496621608734,1.587887368259544e-07,0.9999665021896362,3.3386375434929505e-05,0.025405410677194595,0.3247821033000946,0.6498124599456787
genc bbva esta en su mejor momento y tiene escala suficiente en espana con un 14,2025-10-30,genc bbva is at its best and has enough scale in spain with 14,0.6255914568901062,0.31405794620513916,0.06035058945417404,0.9996246099472046,0.000350206479197368,2.5142768208752386e-05,0.011684955097734928,0.017717894166707993,0.08842043578624725,0.35308802127838135,0.5290887355804443,0.999998927116394,9.08806271127105e-07,1.0673215200540653e-07,0.7462327480316162,0.24458429217338562,0.009183012880384922
bbva esta en las alturas,2025-10-30,bbva is in the heights,0.2517520785331726,0.6617896556854248,0.08645831048488617,4.4620079279411584e-05,0.9999244213104248,3.102174014202319e-05,0.07221020013093948,0.11554189026355743,0.25557708740234375,0.2804968059062958,0.27617403864860535,3.793513414507288e-08,0.9999970197677612,2.9268496746226447e-06,0.04201025143265724,0.6623956561088562,0.29559406638145447
economia trata de aplacar el expediente por la opa pero plantea a la ue mantener su poder de veto sobre las fusiones bancarias,2025-10-30,economy tries to placate the file for the opa but asks the eu to maintain its veto power over bank mergers,0.11952179670333862,0.6073023676872253,0.27317583560943604,7.500234460167121e-06,0.9999836683273315,8.80892821442103e-06,0.15078862011432648,0.26995590329170227,0.3935804069042206,0.1475246548652649,0.03815048187971115,2.1878322513657622e-05,0.9999309778213501,4.704843377112411e-05,0.05150717496871948,0.46504828333854675,0.483444482088089
y ahora que urge reformar la ley de opas y sus tiempos,2025-10-29,what now there is an urgent need to reform the law of opas and its times,0.06605548411607742,0.5337327718734741,0.40021175146102905,1.9773582607740536e-05,0.9999672174453735,1.3001402294321451e-05,0.06975565105676651,0.06892930716276169,0.14009016752243042,0.2897895872592926,0.43143531680107117,2.9116907171555795e-05,0.9818499684333801,0.018120931461453438,0.021558202803134918,0.3765637278556824,0.6018780469894409
bbva supera los 100000 millones de capitalizacion en bolsa,2025-10-29,bbva exceeds 100 billion capitalization on the stock exchange,0.3811914622783661,0.4941540062427521,0.12465453892946243,7.993290637386963e-06,0.9999828338623047,9.169555596599821e-06,0.35155951976776123,0.2100774645805359,0.16320480406284332,0.10945199429988861,0.16570617258548737,0.000622265157289803,0.9992337226867676,0.00014404987450689077,0.16831298172473907,0.7085210680961609,0.12316592782735825
bbva busca destino al responsable de la oficina de integracion de sabadell,2025-10-29,bbva seeks destination for the head of sabadell integration office,0.05083708465099335,0.8979613780975342,0.05120151489973068,7.806525900377892e-06,0.9999836683273315,8.548146979592275e-06,0.12455835193395615,0.12572601437568665,0.26565998792648315,0.2931721806526184,0.19088350236415863,2.4859382392605767e-06,0.9999934434890747,4.002919013146311e-06,0.05859704315662384,0.8258702158927917,0.11553268134593964
los inversores se cubren en banca antes de los resultados,2025-10-29,investors cover themselves in banking before results,0.0578979030251503,0.8055337071418762,0.1365683674812317,7.236458259285428e-06,0.9999831914901733,9.562661034578923e-06,0.3514041006565094,0.34080779552459717,0.22611543536186218,0.05900697037577629,0.022665666416287422,1.2286245691939257e-06,0.9999905824661255,8.25628922029864e-06,0.07726637274026871,0.830585241317749,0.09214837849140167
