Headlines,Fecha
"1. El Ibex mantiene los 16.000 puntos y salda octubre con un alza del 3,6%",2025-10-31
"2. Gortázar: ""CaixaBank está ganando cuota de mercado en pymes, pero no en hipotecas""",2025-10-31
3. El pequeño inversor español se vuelca con el sector salud,2025-10-31
"4. Genç: ""BBVA está en su mejor momento y tiene escala suficiente en España con un 14%""",2025-10-30
5. BBVA está en las alturas,2025-10-30
6. Economía trata de aplacar el expediente por la opa pero plantea a la UE mantener su poder de veto sobre las fusiones bancarias,2025-10-30
7. ¿Y ahora qué? Urge reformar la ley de opas y sus tiempos,2025-10-29
8. BBVA supera los 100.000 millones de capitalización en Bolsa,2025-10-29
9. BBVA busca destino al responsable de la oficina de integración de Sabadell,2025-10-29
10. Los inversores se cubren en banca antes de los resultados,2025-10-29
"11. Las empresas del Ibex pagan un 26,3% por Sociedades, más del tipo nominal",2025-10-29
12. Banco Sabadell organizará una fiesta en el Palau Sant Jordi para celebrar el fracaso de la opa,2025-10-28
13. Dónde invertir con la Bolsa en máximos,2025-10-28
14. El Ibex 35 supera por primera vez los 16.000 puntos,2025-10-27
15. El Ibex cierra en 16.000 puntos y marca máximos históricos 18 años después,2025-10-27
16. Santander y CaixaBank endurecen la competencia por las grandes fortunas,2025-10-27
"17. Laboureix (JUR): ""La próxima crisis sucederá un día u otro, pero la banca es mucho más resistente""",2025-10-27
"18. La gran banca gana 25.320 millones hasta septiembre, otro récord, según los analistas",2025-10-26
19. 20 valores españoles que triunfan en Europa con su tirón bursátil,2025-10-25
20. Así ganó Sabadell a BBVA: la intrahistoria de la opa bancaria del siglo,2025-10-24
"21. BBVA sube en Bolsa un 7,54% tras fracasar la opa y lidera la banca",2025-10-24
"22. Cuerpo ve ""total y perfecto"" el encaje de la normativa española de opas con la europea",2025-10-23
"23. La opa de BBVA, Muface y la importancia del precio",2025-10-23
24. Sabadell o cómo tejer con alianzas un futuro en solitario,2025-10-23
25. El Gobierno explora con la UE mantener parte del control de opas,2025-10-23
"26. Acciona Energía, Solaria y Enagás se pierden el rally de 3 años",2025-10-23
27. El Ibex modera su subida y cierra por debajo de los 15.800 puntos,2025-10-22
"28. BBVA prepara una recompra de acciones de 3.000 millones, según Morgan Stanley",2025-10-22
"29. BBVA ve la banca digital como ""una nueva vía sólida de crecimiento""",2025-10-22
30. Generali es la aseguradora extranjera que más beneficio logra en España,2025-10-22
31. Sabadell absorbe las ventas en Bolsa de los fondos cazaopas,2025-10-22
32. El Ibex desafía su récord y pone rumbo a los 16.300 puntos,2025-10-22
33. Las fusiones bancarias europeas pueden tener éxito a pesar del fracaso de BBVA,2025-10-21
34. Oliu descarta compras de Sabadell los próximos tres años,2025-10-21
35. La CNMV reclama al Gobierno una revisión de la ley de opas,2025-10-21
36. Morgan Stanley fija nuevos techos en BBVA y Sabadell tras la opa,2025-10-21
37. Sabadell y Zurich brindan por el fracaso de la opa y disparan un 176% su bancaseguros,2025-10-21
"38. La Primera de Expansión sobre BBVA, Sabadell, David Martínez, IA, BlackRock y DeepSeek",2025-10-21
39. Goldman Sachs y Morgan Stanley agrandan su leyenda con la opa BBVA-Sabadell,2025-10-21
40. Cómo gestionar una opa hostil sin descuidar el negocio,2025-10-21
41. BlackRock eleva su apuesta por la banca española,2025-10-21
42. Economía cederá a contrarreloj el control de opas al Banco de España,2025-10-21
"43. La banca impulsa al Ibex por encima del 15.800, máximo desde 2007",2025-10-20
"44. Torres, a la plantilla de BBVA: ""Asumimos con serenidad el resultado de la opa; lo mejor está por venir""",2025-10-20
45. BBVA rompe al alza un lateral de diez semanas,2025-10-20
46. David Martínez felicita a Sabadell por su triunfo en la opa de BBVA,2025-10-20
47. BBVA y Sabadell aceleran sus subidas en el Ibex,2025-10-20
"48. La Primera de Expansión sobre BBVA, Sabadell, Oliú, el Nikkei, Kering y L'Oreal",2025-10-20
49. BBVA y Sabadell gastan más de 100 millones en asesores para la opa,2025-10-20
50. ¿Ha llegado la hora de las fusiones entre bancos medianos en España?,2025-10-20
51. Por qué Torres no pudo convencer a los fondos,2025-10-20
"52. Oliu: ""El gobierno nos pidió que hiciéramos milagros para que no saliera la opa""",2025-10-20
53. BBVA y Sabadell valen 38.000 millones más desde la opa,2025-10-20
54. De Gas Natural a BBVA; por qué nadie dimite tras las opas fracasadas en España,2025-10-20
55. Las cotizadas españolas reparten casi 30.000 millones en dividendos hasta septiembre,2025-10-19
"56. Torres (BBVA): ""No existe ninguna posibilidad de volver a presentar una opa por Sabadell""",2025-10-19
57. ¿Y ahora qué?,2025-10-18
58. El mejor escudo antiopas para Sabadell es comprar un banco,2025-10-18
59. Bruselas defiende la concentración bancaria tras el fracaso de la opa,2025-10-18
60. Qué esperar de las acciones de BBVA y Sabadell tras la opa,2025-10-18
61. Las 9 piedras en el camino de BBVA que han reventado la opa a Sabadell,2025-10-18
"62. Los accionistas, los verdaderos vencedores de la opa de BBVA sobre Sabadell",2025-10-18
"63. Oliu y González-Bueno, satisfechos ante la ""mejor salida para todos""",2025-10-17
64. Cuerpo defiende el papel del Gobierno en la opa fallida de BBVA sobre Sabadell,2025-10-17
"65. La City pone ahora la presión sobre BBVA: ""¿Qué quiere ser de mayor?""",2025-10-17
"66. Minoritarios de Banco Sabadell, empresarios y políticos catalanes celebran el fracaso de la opa",2025-10-17
67. ¿Por qué ha fracasado la opa de BBVA sobre Sabadell?,2025-10-17
